question	queries	links
How to protect the slag line from the electric arc's radiation in a ladle furnace?	"""resin bonded"" ""pitch bonded"" magnesia carbon brick comparison ladle"	['https://www.earthwaterfire.com/magnesia-carbon-bricks/', 'https://ztmaterials.com/refractory-material-solutions/magnesia-carbon-bricks-performance-manufacturing-and-applications/', 'https://www.rescoproducts.com/resources2/articles/magnesia-refractory-brick', 'https://refractoriesmaterials.com/magnesia-carbon-bricks/', 'https://hitechmaterial.en.made-in-china.com/product/xOuGEhMTIlRz/China-High-Grade-Refractory-Bricks-Resin-Bonded-Fused-Magnesia-Carbon-Brick-for-Eaf.html', 'https://www.lmmgroupcn.com/product/resin-bonded-magnesia-carbon-brick/', 'https://www.lmmgroupcn.com/what-are-the-development-and-performance-of-magnesia-carbon-bricks-and-the-advantages-of-aluminum-carbon-bricks-for-ladle/', 'https://www.lmmgroupcn.com/magnesia-carbon-refractroy-brick/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4431744']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	"""foamy slag"" ladle furnace carbon injection long arc protection"	['https://www.ispatguru.com/foaming-of-slag-in-electric-arc-furnace/', 'https://www.qlar.com/press-and-media/press-releases/steel-production-eaf', 'https://www.sciencedirect.com/science/article/abs/pii/S2214785321008671', 'https://www.lmmgroupcn.com/modern-electric-arc-furnace-steelmaking-process/', 'https://www.mdpi.com/1996-1073/16/12/4673', 'https://www.sciencedirect.com/topics/engineering/electric-arc-furnace-process', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4447265', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/6372010', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4528035']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	"""ladle metallurgy"" arc impingement refractory damage electrode misalignment"	['https://oxmaint.com/industries/steel-plant/ladle-furnace-secondary-metallurgy-maintenance', 'https://www.ispatguru.com/ladle-metallurgy/', 'https://www.lmmgroupcn.com/analysis-on-the-causes-of-damage-to-ladle-metallurgy-refractory-materials-and-solutions/', 'https://www.castablerefractory.com/industry_News/damage-causes-refractory-materials-ladle.html', 'https://www.lmmgroupcn.com/check-for-defects-in-electric-furnace-refractories-and-you-can-do-it-like-this/', 'https://en.wikipedia.org/wiki/Ladle_(metallurgy)']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	Vesuvius MgO-C brick slag line ladle product	['https://xintairefractory.com/product/high-purity-magnesia-carbon-brick-for-steel-ladle-lining/', 'https://www.vesuvius.com/en/our-solutions/ru-ru/iron-and-steel/continuous-casting/ladle/linings.html', 'https://www.vesuvius.com/en/our-solutions/international/iron-and-steel/continuous-casting/ladle/linings.html', 'https://www.refractoryprice.com/mgo-c-bricks-used-in-refining-ladle-slag-line/', 'https://www.researchgate.net/publication/266358950_MgO-C_refractories_for_steel_ladles_slag_line', 'https://ceramsource.com/products/refractory-products/magnesia-mgo-bricks/', 'https://onlinelibrary.wiley.com/doi/full/10.1002/srin.201900436', 'https://rsrefractoryfirebrick.com/alumina-magnesia-carbon-bricks-for-safety-lining-of-refining-ladles/']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	"AISTech ""ladle furnace"" slag refractory arc length control Pretorius"	['https://en.wikipedia.org/wiki/Electric_arc_furnace', 'https://www.mdpi.com/2075-4701/11/1/17', 'https://www.sciencedirect.com/topics/engineering/ladle-slag', 'https://asi-alloys.com/pdf/ControlofSlag.pdf', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5533044', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4528673', 'https://www.ncbi.nlm.nih.gov/books/NBK599051/', 'https://aistech.secure-platform.com/site/gallery/rounds/82011/details/16256']
How to protect the slag line from the electric arc's radiation in a ladle furnace?	"""arc length"" voltage tap EAF refractory wear sidewall"	['https://www.luxmet.fi/2022/01/19/reducing-electrode-wear-in-eaf-steelmaking/', 'https://www.luxmet.fi/2021/08/18/luxmet-in-estad-2021/', 'https://www.researchgate.net/publication/335796112_Modifying_the_EAF_voltage_tap_profile_for_lower_electrode_tip_consumption_and_increased_energy_efficiency', 'https://mayerton.com/eaf/', 'https://xintairefractory.com/how-to-choose-refractory-bricks-for-electric-arc-furnaces/', 'https://www.ispatguru.com/refractory-lining-of-the-electric-arc-furnace/', 'https://www.rhimagnesitaindia.com/blog/refractories-for-electric-arc-furnace-overview-process-and-wear-mechanisms/6']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	laser 3D scanning steel ladle refractory wear measurement	['https://oxmaint.com/industries/steel-plant/ladle-maintenance-robots-steel', 'https://www.rhimagnesita.com/the-bulletin-blog/innovative-refractory-wear-measurement-method-for-steel-ladles-using-3d-laser-scanning/', 'https://ifactoryapp.com/industries/steel-plant/ladle-refractory-tracking-life-prediction-digital', 'https://www.rhimagnesita.com/the-bulletin-blog/deformation-and-wear-analytics-in-reheating-furnaces/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11268766', 'https://oxmaint.com/industries/steel-plant/steel-mill-refractory-inspection-robots-ladle-converter-furnace-lining-maintenance']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	slag splashing nitrogen ladle refractory life extension	['https://pmc.ncbi.nlm.nih.gov/articles/PMC8124851/', 'https://www.intechopen.com/chapters/63272', 'https://www.sciencedirect.com/science/article/pii/S2238785419305186', 'https://xintairefractory.com/refractory-materials-for-steel-ladles-selection-and-maintenance/', 'https://www.mdpi.com/2075-4701/13/5/940', 'https://www.ispatguru.com/slag-splashing-technique-in-converter-operation/', 'https://www.researchgate.net/publication/291118024_Using_slag_splashing_technology_for_low_gunning_rates_and_even_lower_refractory_costs', 'https://www.lmmgroupcn.com/key-factors-impacting-ladle-refractory-materials-lifespan/']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	impact pad ladle refractory life heats campaign	['https://www.researchgate.net/publication/281184017_Thermomechanical_behaviour_of_refractory_castable_impact_pads_in_steel_ladles', 'https://imis.aist.org/AISTPapers/Abstracts_Only_PDF/PR-060-059.pdf', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5704184', 'https://oxmaint.com/industries/steel-plant/refractory-management-steelmaking-bof-eaf-ladle', 'https://www.quickcompany.in/patents/alumina-magnesia-and-carbon-amc-based-refractory-and-its-process-of-manufacture-for-ladle-lining-thereof', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5597528', 'https://amarceramic.com/industries-we-serve/iron-steel-plants/hot-metal-ladle-torpedo-ladle/', 'https://www.ijert.org/innovation-in-steel-ladle-life-to-157-heats-at-rourkela-steel-plant-through-optimization-of-refractory-material-service-conditions', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10882107']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	ladle preheating regenerative burner oxy-fuel refractory life	['https://www.messergroup.com/es/ironandsteel/foundries/ladlepreheating', 'http://www.aga.se/en/processes_ren/melting_heating/ladle_heating/index.html', 'https://www.messer-us.com/hubfs/Messer%20US%20Website_2019/Resources/1801_Oxipyr%20for%20Ladle%20Preheating_DataSheet_ia.pdf', 'https://www.linde-gas.com/en/industries/steel_metal/steel/oxyfuel-solution-for-ladle-preheating/index.html', 'https://uk.airliquide.com/solutions/oxycombustion-oxygen-enhanced-combustion/oxy-fuel-combustion-and-oxygen-enrichment-metal-melting', 'https://www.diecastingcompany.com/helpful-articles/using-pure-oxygen-burner-to-reduce-energy-consumption-of-ladle-preheating', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4718643', 'https://static.prd.echannel.linde.com/wcsstore/NL_RES_Industrial_Gas_Store/Attachment/Downloads/Applications/OXYGON_400_Datasheet.pdf', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4014532']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	machine learning ladle refractory wear prediction AISTech	['https://ifactoryapp.com/industries/steel-plant/ladle-refractory-tracking-life-prediction-digital', 'https://ifactoryapp.com/industries/steel-plant/refractory-lining-monitoring-ai-furnace-life-breakouts', 'https://bulletin.ceramics.org/article/refractory-advancements-machine-learning-enhances-material-and-technological-design/', 'https://scienceportal.tecnalia.com/en/publications/remaining-useful-life-and-wear-estimation-of-the-refractory-brick/', 'https://ifactoryapp.com/industries/steel-plant/molten-metal-safety-ai-monitoring-ladle-casting', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9698438/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10707161/', 'https://www.researchgate.net/publication/373404784_Prediction_of_Temperature_of_Liquid_Steel_in_Ladle_Using_Machine_Learning_Techniques', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/12032359']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	argon stirring intensity ladle refractory wear optimization	['https://www.laurelrefractory.com/steel-ladle-refractory-materials-new.html', 'https://www.lmmgroupcn.com/key-factors-impacting-ladle-refractory-materials-lifespan/', 'https://digital.bnpengage.com/emagazine-acers-bulletin-march-2024/feature-steel-ladle-breakout/', 'https://www.researchgate.net/publication/286056311_Modeling_of_the_Argon_Stirring_Process_during_Desulfurization_in_a_Steel_Ladle', 'https://oxmaint.com/industries/steel-plant/ladle-tracking-management-steel', 'https://www.jstage.jst.go.jp/article/isijinternational/57/2/57_ISIJINT-2015-701/_pdf', 'https://www.totalmateria.com/en-us/articles/the-cas-ob-process/', 'https://www.ispatguru.com/argon-rinsing-of-steels/']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	monolithic ladle lining vibration casting versus brick campaign	['https://xintairefractory.com/refractory-materials-for-steel-ladles-selection-and-maintenance/', 'https://htr.rs/en/steel-ladle-lining-management-a-comparison-between-different-maintenance-technologies-to-increase-performance-reduce-refractory-consumption-and-waste-disposal-of-used-materials/', 'https://thinkhwi.com/industries/iron-steel/steel-ladle-refractory/', 'https://static1.squarespace.com/static/600888b7d4535b44c9032a26/t/601d8db88d2c556f87e5b8d9/1612549560369/Dofasco+Safety+Lining+Paper.pdf', 'https://www.rhimagnesita.com/industries-we-serve/alumina-monolithic-solutions/smooth-solutions-for-steel-ladle/', 'https://www.freepatentsonline.com/5529729.html', 'https://patents.justia.com/patent/5529729', 'https://www.researchgate.net/publication/335937493_Introduction_of_a_Monolithic_Working_Lining_of_Steel_Ladle', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5529729', 'https://patents.google.com/patent/US5993703A/en']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	porous plug ladle design optimization refractory life heats	['https://www.ijert.org/innovation-in-steel-ladle-life-to-157-heats-at-rourkela-steel-plant-through-optimization-of-refractory-material-service-conditions', 'https://www.jucosrefractory.com/showroom/high-quality-steel-ladle-using-refractory-porous-plug.html', 'https://metalworldinsight.com/analysis-of-ladle-porous-plug-purging-plug/', 'https://link.springer.com/article/10.1007/BF01285622', 'https://www.sciencedirect.com/science/article/abs/pii/S1350630718312986', 'https://www.academia.edu/34015996/Innovative_concepts_for_steel_ladle_porous_plugs', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4385752']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	ladle lid hot cycling thermal cycling refractory life reduction	['https://www.ganeshas.net/effects-of-temperature-cycling-on-refractory-materials/', 'https://www.lmmgroupcn.com/factors-affecting-the-service-life-of-ladle-refractory-materials/', 'https://amarceramic.com/industries-we-serve/iron-steel-plants/hot-metal-ladle-torpedo-ladle/', 'https://www.foseco.com/en/products/refractory-linings-and-flow-control/ladle-linings', 'https://www.lmmgroupcn.com/energy-efficiency-refractory-bricks-for-steel-ladle-linings/', 'https://www.ispatguru.com/steel-teeming-ladle-and-its-refractory-lining/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5728348']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	"""slag line"" MgO-C zone-specific ladle refractory campaign extension"	['https://xintairefractory.com/refractory-materials-for-steel-ladles-selection-and-maintenance/', 'https://xintairefractory.com/steel-ladle-refractory-structure-and-function/', 'https://oxmaint.com/industries/steel-plant/refractory-management-software-steel', 'https://www.researchgate.net/figure/Relative-ladle-lining-lifetime-and-slag-line-repair-interval-for-a-100-tonne-treatment_fig3_276405790', 'https://www.zinfon-refractory.com/news/refractory-materials-for-slag-line-and-low-ero-85270671.html', 'https://www.linkedin.com/pulse/what-kind-refractories-should-used-ladle-slag-line-corrosion-zhang/', 'https://advanced.onlinelibrary.wiley.com/doi/10.1002/adem.202502888?af=R', 'https://www.researchgate.net/publication/266358950_MgO-C_refractories_for_steel_ladles_slag_line']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	"""ladle lid"" temperature loss refractory life heat retention steel"	['https://amarceramic.com/industries-we-serve/iron-steel-plants/hot-metal-ladle-torpedo-ladle/', 'https://www.britannica.com/technology/steel/Ladle-metallurgy', 'https://www.sciencedirect.com/science/article/abs/pii/S036054422032003X', 'https://www.highlandrefractory.com/ladle-lining-coating.html', 'https://arxiv.org/pdf/2302.14620', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4637593', 'https://www.lmmgroupcn.com/key-factors-impacting-ladle-refractory-materials-lifespan/']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	MgO-C bricks steel ladle service life improvement	['https://www.ceramicsrefractories.saint-gobain.com/products/shapes/refractory-bricks/hyper-mgo-c-bricks', 'https://ceramsource.com/products/refractory-products/magnesia-mgo-bricks/', 'https://magnesiacarbonbricklmm.com/improve-the-service-life-of-the-ladle-slag-line/', 'https://www.aluminabricks.com/news/industry-knowledge/steel-and-iron-industry-refractory-material/steel-ladle-al2o3-mgo-c-refractory/', 'https://onlinelibrary.wiley.com/doi/full/10.1002/srin.201900436', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884222033466', 'https://www.academia.edu/16504363/Low_Carbon_MgO_C_Refractories_for_Clean_Steel_Making_in_Steel_Ladles', 'https://steelmakinglmm.com/en/faq-about-magnesia-carbon-mgo-c-bricks/']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	alumina-spinel castable steel ladle lining campaign life	['https://ceramics.onlinelibrary.wiley.com/doi/abs/10.1111/ijac.14213', 'https://kilnrefractory.com/service-life-of-the-ladle-castable-on-the-steel-ladle/', 'https://htr.rs/en/steel-ladle-lining-management-a-comparison-between-different-maintenance-technologies-to-increase-performance-reduce-refractory-consumption-and-waste-disposal-of-used-materials/', 'https://xintairefractory.com/refractory-materials-for-steel-ladles-selection-and-maintenance/', 'https://ceramics.org/ceramic-tech-today/ensuring-safe-production-of-metal-goods-a-review-of-alumina-spinel-castables-for-steel-ladles/', 'https://www.mdpi.com/2571-6131/3/1/15', 'https://www.researchgate.net/publication/335937493_Introduction_of_a_Monolithic_Working_Lining_of_Steel_Ladle', 'https://www.lmmgroupcn.com/steel-ladle-refractory-lmm-group/']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	slag splashing ladle refractory life MgO saturation	['https://www.ispatguru.com/slag-splashing-technique-in-converter-operation/', 'https://www.linkedin.com/pulse/refractories-mgo-saturation-vito-santos', 'https://www.researchgate.net/figure/Relative-ladle-lining-lifetime-and-slag-line-repair-interval-for-a-100-tonne-treatment_fig3_276405790', 'https://researchgate.net/publication/260086182_Slag_conditioning_effects_on_MgO-C_refractory_corrosion_performance', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884213002691', 'https://advanced.onlinelibrary.wiley.com/doi/10.1002/adem.202502888?af=R', 'https://www.researchgate.net/publication/309543889_UsING_of_CALCIUM_MAGNESIUM_ALUMINATE_FLUX_WITH_HIGH_MGO_CONTENT_TO_IMPROVE_secondary_STEEL_LADLE_LIFE_TIME', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884223012683']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	ladle preheating thermal cycling refractory life	['https://metalzenith.com/blogs/steel-production-processing-terms/ladle-in-steelmaking-key-equipment-and-its-role-in-steel-refining', 'https://www.sincthermal.com/ladle-heaters/', 'https://www.kanthal.com/en/industries/steel/ladle-preheating/', 'https://hanmetallurgy.com/best-practices-for-ladle-preheating-temperature-control-common-issues-and-prevention-strategies/', 'https://www.ispatguru.com/steel-teeming-ladle-and-its-refractory-lining/', 'https://www.researchgate.net/publication/262102682_Thermal_Modelling_of_the_Ladle_Preheating_Process', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4014532']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	robotic gunning ladle hot repair refractory campaign	['https://oxmaint.com/industries/steel-plant/steel-mill-refractory-inspection-robots-ladle-converter-furnace-lining-maintenance', 'https://xintairefractory.com/refractory-materials-for-steel-ladles-selection-and-maintenance/', 'https://www.velco.de/en/gunning-manipulators/', 'https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118837009.ch5', 'https://www.refractories-worldforum.com/technologies-materials/gunning-manipulators-for-the-hot-repair/', 'https://www.velco.de/wp-content/uploads/2021/05/Steel_Times_sept2015_gunning_robot_improve_refractory_repairs.pdf', 'https://www.velco.de/en/gunning-manipulators/eaf-gunning-manipulator/', 'https://oxmaint.com/industries/steel-plant/refractory-management-steelmaking-bof-eaf-ladle']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	ladle lid cover heat retention refractory life steel	['https://amarceramic.com/industries-we-serve/iron-steel-plants/hot-metal-ladle-torpedo-ladle/', 'https://refractorysupplier.com/solution/steel-ladle-refractory/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5728348', 'https://thinkhwi.com/industries/iron-steel/steel-ladle-refractory/', 'https://patents.google.com/patent/CN201913236U/en', 'https://wmsinc.com/steel-ladle-linings/']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	antioxidants MgO-C bricks aluminum silicon refractory life	['https://www.ispatguru.com/magnesia-carbon-refractories/', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884216302140', 'https://www.sciencedirect.com/science/article/abs/pii/S0955221922007269', 'https://www.researchgate.net/publication/354361407_MgO-C_Refractories_A_Detailed_Review_of_These_Irreplaceable_Refractories_in_Steelmaking', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC7040739/', 'https://www.sciencedirect.com/science/article/pii/S2666539523001414', 'https://onlinelibrary.wiley.com/doi/10.1002/srin.202400260', 'https://www.sciencedirect.com/topics/materials-science/magnesia-refractory']
List all the ladle refractory lifespan extension techniques rated by their effect to cost ratio.	tap temperature reduction ladle refractory consumption	['https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/6540957', 'https://pennekamp-me.ae/case-study-improving-heat-retention-in-a-ladle-furnace-with-refractory-bricks/', 'https://www.millegap.com/blog/why-use-refractory-brick-for-steel-ladle550', 'https://www.csc.com.tw/csc/ts/ena/pdf/no35/pages/2-Analysis%20of%20Temperature%20Dropping%20of%20Molten%20Steel%20in%20Ladle%20for%20Steelmaking.pdf', 'https://www.lmmgroupcn.com/key-factors-impacting-ladle-refractory-materials-lifespan/', 'https://oxmaint.com/industries/steel-plant/refractory-management-software-steel', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884218309660', 'https://xintairefractory.com/refractory-materials-for-steel-ladles-selection-and-maintenance/', 'https://www.lmmgroupcn.com/energy-efficiency-refractory-bricks-for-steel-ladle-linings/', 'https://www.shinagawa.co.jp/en/pdf/2022%20Introduction%20to%20Carbon%20Free%20Refractory%20Lining%20for%20Ladle%20Steel%20Bath%20in%20EAF%20Steel%20Mill.pdf']
