research_question	link	description	id	past_query
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://umformtechnik.net/wire/Content/Business/New-bloom-caster-to-produce-high-quality-blooms-for-wire-rod-production	[FULL] A Chinese steel producer ordered a new 6-strand bloom casting machine from Primetals Technologies for production of high-quality blooms for wire rod including tire cord. The caster will feature the largest curved copper tube mold and advanced automation systems. The fully automated roll-gap control system 'Dyna Gap Soft Reduction' minimizes centerline segregation, enhancing internal strand quality. The bloom caster will also be equipped with 'Dynacs 3D' secondary cooling model and 'Lev Con' automatic mold level control with auto-adaptive dynamic bulging compensation. Steel grades include low-carbon, medium-carbon, and high-carbon for sections, rails, and wire rod.	19	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.sciencedirect.com/topics/engineering/centerline-segregation	[FULL] The page describes centerline segregation in continuously cast slabs and billets as a result of solute rejection during solidification. It states that the severity of centerline segregation depends on the relative sizes of columnar and equiaxed zones; as the width of the equiaxed zone increases, segregation decreases. Factors influencing solidification structure include superheat, carbon content, electromagnetic stirring, section size, and soft reduction. High-carbon steels (>0.38% C) have a narrower equiaxed zone compared to medium-carbon steels.	20	straightening bulging effect centerline segregation high carbon billet curved caster reduce
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.linkedin.com/pulse/classification-continuous-caster-kerri-zhang	[FULL] Vertical continuous casters have main equipment arranged on a vertical centerline, conducive to floating of inclusions and uniform cooling, but have high equipment and manufacturing costs. The hydrostatic head is large and bulge deformation is excellent; suitable for high-quality steel, alloy steel, and crack-sensitive steel. Vertical bending continuous casters are a transition type with the same characteristics as vertical casters in the vertical section; after condensation, the slab is bent and transported out horizontally; suitable for small section billets (<100mm×100mm). Arc continuous casters have lower height and investment; static pressure is relatively small, which can reduce internal cracks and segregation caused by bulging deformation, but non-metallic inclusions tend to gather towards the inner arc side, forming uneven distribution and segregation.	21	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://hanrm.com/the-characteristics-of-various-continuous-casting-machine/	[FULL] Vertical continuous casting machines have equipment arranged on a vertical centerline, advantageous for inclusions to float up and uniform billet shell cooling, but equipment is high and production cost is large; suitable for high-quality steel, alloy steel, and crack-sensitive steel grades. Vertical bending continuous casting machines are a transition model with the same characteristics as vertical casters; suitable for casting small section billets (<100mm×100mm). Arc continuous casting machines have lower height and investment; static pressure is relatively small, which can reduce internal cracks and segregation caused by bulging deformation, but non-metallic inclusions tend to gather to the inner arc side, constituting uneven distribution and segregation.	22	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6470511/	[FULL] This paper reviews research on quality control of high-carbon steel (0.8-0.9 wt.% C) for wire applications. It discusses that centerline segregation is a key defect for high-carbon steel, leading to non-uniformity and negative impact on drawability. Techniques investigated to control centerline segregation include intensive secondary cooling, final electromagnetic stirring (F-EMS), final permanent magnetic stirring (F-PMS), and soft reduction.	23	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.sms-concast.ch/our-solutions/caster-concepts	[SNIPPET] SMS Concast has been instrumental in developing continuous casting technologies for billets, blooms and beam blanks, combining expertise with commitment, openness and flexibility. Concast supports plant operators along the whole equipment lifecycle to achieve a competitive advantage.	24	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://pmc.ncbi.nlm.nih.gov/articles/PMC6470511/	[FULL] This paper reviews research on quality control of high-carbon steel (0.8-0.9 wt.% C) for wire applications. It discusses that centerline segregation is a key defect for high-carbon steel, leading to non-uniformity and negative impact on drawability. Techniques investigated to control centerline segregation include intensive secondary cooling, final electromagnetic stirring (F-EMS), final permanent magnetic stirring (F-PMS), and soft reduction.	25	82B tire cord billet F-EMS casting speed carbon segregation index value reduce
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/6607021	US Patent 6607021 for a continuous casting method with liquid core reduction, describing apparatus and process to reduce centerline segregation.	26	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/317835790_Reducing_macro_segregation_of_high_carbon_steel_in_continuous_casting_bloom_by_final_electromagnetic_stirring_and_mechanical_soft_reduction_integrated_process	Study on integrated F-EMS and mechanical soft reduction to reduce macro-segregation in high-carbon steel blooms. Demonstrates that combined process lowers segregation index and improves centerline quality.	27	China Steel No.3 bloom caster central segregation soft reduction roll pitch 1.2 m C/C0
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/323821506_Influence_of_Soft_Reduction_on_the_Fluid_Flow_Porosity_and_Center_Segregation_in_CC_High_Carbon-_and_Stainless_Steel_Blooms	Investigation of soft reduction parameters on fluid flow, porosity, and center segregation in high-carbon and stainless blooms. Finds optimal reduction at solid fraction ~0.9 yields segregation index ~1.05–1.16 and minimal porosity.	28	liquid core reduction LCR bloom casting high carbon steel segregation porosity
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.jstage.jst.go.jp/article/isijinternational/58/3/58_ISIJINT-2017-534/_article	[FULL] Mechanical soft reduction (MSR) is an established technique for reducing center segregation and center porosity in continuous casting of blooms. The bloom cross section is reduced by pinch rollers to compensate for downward liquid flow in the mushy zone due to solidification shrinkage. An analytical mathematical model was developed to calculate liquid flow velocity along the strand considering height reduction at each pinch roller and solidification shrinkage. MSR trials on a high carbon steel grade show that center segregation decreases in proportion to the amount of reduction, clarifying the importance of applying a pinch roller just before the crater end. MSR of only 2% height reduction on a stainless steel bloom gave substantial closure of visual center porosity.	29	liquid core reduction high carbon wire rod billet center porosity closure segregation index
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.lmmgroupcn.com/square-rectangular-bloom-ccm-advanced-technology-for-high-quality-steel-blooms/	[FULL] The article discusses square and rectangular bloom continuous casting machines for high carbon steel, alloy steel, bearing steel, and spring steel. It mentions that bloom quality issues like center porosity and macro-segregation can be addressed by advanced technologies such as tundish electromagnetic heating, mold electromagnetic stirring (M-EMS), final electromagnetic stirring (F-EMS), and dynamic soft reduction and heavy reduction.	30	Danieli VCCM POSCO vertical caster AISTech bloom 'segregation' 0.9 1.0 central porosity rating high carbon results
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.intechopen.com/chapters/48505	[SNIPPET] This chapter discusses evaluation of solidification times for medium and high carbon steels based upon heat transfer and solidification phenomena in the continuous casting of blooms. The quest for billets and blooms production with more stringent quality demands in internal soundness, free from surface defects, and internal porosity is highlighted.	31	liquid core reduction LCR bloom casting high carbon steel segregation porosity
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.mdpi.com/2075-4701/11/1/9	[FULL] Based on Ø195 mm round bloom continuous casting of oil pipe steel, a thermal-mechanical coupled model was developed to investigate deformation behavior during soft reduction (SR) in reduction force mode. Under the same reduction force, reduction amount at the front unit is much larger than back unit. Deformation penetration before solidification is much stronger than after solidification due to higher temperature and lower center solid fraction. A multi-unit soft reduction plan was proposed and carried out; after reduction of No.1 to No.3 withdrawal units, shrinkage porosity in the center was almost vanished, while spot segregation was significantly reduced. SR is an effective technology for round blooms to control shrinkage porosity and spot segregation.	32	liquid core reduction LCR bloom casting high carbon steel segregation porosity
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.jstage.jst.go.jp/article/isijinternational/54/3/54_504/_html/-char/en	[FULL] Based on solidification shrinkage compensation, a soft reduction amount calculation method was derived for bloom continuous casting, with bearing steel GCr15 as research steel. A two-dimensional heat transfer model was built to predict solidification. Plant results showed that after application of soft reduction to the bloom, centerline segregation and 'V' type segregation were improved significantly. The carbon and sulfur ratios of the bloom centerline were reduced from 1.39 to 1.09 and 2.14 to 1.29, respectively. SR technology is an effective method to reduce slab and bloom centerline segregation and porosity.	33	liquid core reduction LCR bloom casting high carbon steel segregation porosity
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://link.springer.com/article/10.1007/s12613-024-3009-2	[FULL] Liquid core reduction (LCR) technology in thin slab continuous casting can refine internal microstructures and improve production efficiency. To avoid crack risks during LCR and minimize slab thickness in bending segments, the maximum theoretical reduction amount and corresponding reduction scheme must be determined. With SPA-H weathering steel as research steel, temperature and deformation fields were analyzed using a 3D thermal-mechanical finite element model. High-temperature tensile tests were designed to determine critical strain for corner crack propagation and intermediate crack initiation. The maximum theoretical reduction amount for SPA-H slab (145 mm × 1600 mm) was 41.8 mm.	34	liquid core reduction LCR bloom casting high carbon steel segregation porosity
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://link.springer.com/article/10.1007/s11837-016-2041-8	[FULL] A two-stage sequential heavy reduction (HR) method, increasing reduction both before and after solidification end, is presented to simultaneously improve homogeneity and compactness of continuous casting blooms. With bearing steel GCr15 as research steel, a 3D thermal-mechanical finite element model was developed. Soft reduction (SR) is implemented in the mushy zone to compensate for liquid core shrinkage and prevent solute-enriched liquid flowing toward the strand center. Heavy reduction (HR) imposes a larger reduction at and after solidification end to heal shrinkage cavity and improve center density. Explorative application results showed that bloom center quality and compactness of rolled bars were significantly improved after HR.	35	liquid core reduction LCR bloom casting high carbon steel segregation porosity
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.sciencedirect.com/science/article/abs/pii/S100588500660100X	[FULL] Center segregation is the main reason for cup fracture of high-carbon wire rod during drawing. Soft reduction technology is considered effective to minimize center segregation. To elucidate the effect of soft reduction on internal quality of high-carbon steel billets, soft reduction was applied with different solid fractions in the core area in a laboratory casting machine. Center segregation, center porosity, homogeneity of elements, and equiaxed crystal zone were obviously improved by applying soft reduction, especially when solid fraction was less than 1.0. The optimal results were obtained when solid fraction was approximately 0.9.	36	centerline segregation high carbon steel continuous casting soft reduction mechanism
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.sciencedirect.com/science/article/abs/pii/S0017931017348706	[FULL] A two-phase solidification model coupling thermal shrinkage and mechanical reduction was established to investigate fluid flow and solute distribution in continuous casting slabs. Results show that solidified shell contracting outward by thermal shrinkage will be compressed to slab center with mechanical reduction, and enriched liquid steel transporting downwards is suppressed, resulting in center segregation improvement. The reduction zone should cover the solidification range in the slab center, where liquid fraction is between 0.95 and 0.01. Mechanical reduction applied in later stage strongly affects center segregation evolution. Solid phase still contracts intensively to slab surface even after liquid phase has solidified, so mechanical reduction should also be applied in subsequent cooling stage to avoid center porosity.	37	centerline segregation high carbon steel continuous casting soft reduction mechanism
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/233573390_Strategy_to_minimise_central_segregation_in_high_carbon_steel_grades_during_billet_casting	ResearchGate paper on strategies to minimize central segregation in high-carbon steel billet casting, including optimization of superheat, casting speed, and soft reduction.	38	centerline segregation high carbon steel continuous casting soft reduction mechanism
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.metallurgical-research.org/articles/metal/abs/1992/01/metal19928901p83/metal19928901p83.html	[SNIPPET] The abstract of a 1992 paper by Suzuki et al. states that the optimum application of in-line soft reduction on a bloom caster makes a remarkable improvement in macrostructure and center segregation of solute chemical components, without internal cracks. This improvement contributes to increased toughness in the center part of bars and homogenization of hardness on the cross section of high carbon wire rods.	39	carbon segregation index C/C0 high carbon bloom vertical caster soft reduction values
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/384949569_REDUCTION_OF_CENTER_LINE_SEGREGATION_DURING_CONTINUOUS_CASTING_OF_STEEL	ResearchGate paper on reduction of centerline segregation using dynamic soft reduction and optimized roll pitch.	40	centerline segregation high carbon steel continuous casting soft reduction mechanism
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10543527	US Patent 10543527 for a soft reduction method to control centerline segregation in continuous casting.	41	liquid core reduction definition mold soft reduction difference segregation
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.metallurgical-research.org/articles/metal/abs/2017/04/metal170036/metal170036.html	[FULL] The influence of final electromagnetic stirring (F-EMS) combined with mechanical soft reduction (MSR) on reducing macro segregation has been investigated for high carbon steel bloom with 1 wt.% carbon. A 2D heat transfer model was developed to predict solidification. A roll-gap calculation model was established by a segmented slope method to calculate proper soft reduction zone and distribution of total reduction amount. Industrial research results showed that macro segregation was significantly improved by the optimum combination of F-EMS and MSR, and the risk of center negative segregation and internal cracks could be avoided by modifying F-EMS position and reduction distribution.	42	carbon segregation index C/C0 high carbon bloom vertical caster soft reduction values
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.webwire.com/ViewPressRel.asp?aId=355024	[FULL] Primetals Technologies will upgrade a 5-strand bloom caster in China with a 200-ton withdrawal straightening unit and two additional pinch rolls for improved strand containment. An optimized cooling concept ensures precise soft reduction. The upgrade enables production of high-quality blooms for bearing, high-end spring, bridge wire rope, tire wire, and cold-heading rivet segments. The caster will be equipped with DynaPhase, Dynacs 3D, and DynaGap Soft Reduction 3D technologies. Following the upgrade, the caster will deliver superior internal quality with a segregation index of 1.05.	43	straight vertical caster liquid core reduction tire cord steel bloom internal quality
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://metallus.com/offerings/jumbo-bloom-vertical-caster/	[FULL] Metallus maintains the largest continuous vertical bloom caster in North America, rising more than 180 feet above ground and descending 90 feet below ground. The jumbo bloom vertical caster produces the largest continuous cast rectangular bloom cross sections in North America with superior internal cleanness. The vertical design allows for continuous casting of high-alloy grades and enables production of uniform steel with better inclusion distribution. Advanced operating technology includes electromagnetic stirring, dynamic soft reduction, air-mist cooling, and thermal treatment for optimized surface quality.	44	straight vertical caster liquid core reduction tire cord steel bloom internal quality
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.primetals.com/portfolio/continuous-casting/vertical-casting	[SNIPPET] Primetals Technologies offers vertical casting solutions. The page discusses vertical casting technology but specific details about liquid core reduction or segregation are not provided in the accessible snippet.	45	straight vertical caster liquid core reduction tire cord steel bloom internal quality
How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.primetals.com/en/portfolio/solutions/continuous-casting/bloom-casting/	[SNIPPET] Primetals Technologies provides bloom casting solutions to optimize steel quality. The page discusses bloom casting technology but specific details about vertical casting or liquid core reduction are not provided in the accessible snippet.	46	straight vertical caster liquid core reduction tire cord steel bloom internal quality
