	research_question	link	description	id	past_query
10	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.academia.edu/95708377/Corrosion_of_high_alumina_castables_by_CaO_Al2O3_SiO2_MgO_system_slag	Similar to the above, this work quantifies the corrosion depth as a function of slag composition and temperature. It reports that MgO-saturated slags are less aggressive, but the top lance injection introduces turbulence that removes the protective slag layer, accelerating fresh attack.	10	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
11	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://pmc.ncbi.nlm.nih.gov/articles/PMC9146358/	An open-access article on the corrosion mechanisms of refractory castables in steelmaking. It summarizes that the main wear mechanisms are chemical dissolution, penetration, and structural spalling. The oxygen lance is noted to increase the partial pressure of oxygen, which promotes the formation of low-melting phases (e.g., fayalite) that accelerate liquid-phase corrosion.	11	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
12	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S095522190100509X	Classic paper on slag corrosion of MgO-C refractories. The presence of carbon is beneficial as it reduces slag wettability, but under oxidizing conditions (from the top lance), carbon is removed, allowing direct slag contact with MgO. The study provides activation energies for the corrosion process under different oxygen partial pressures.	12	RH slag 1650В°C corrosion spinel periclase Fe Ca Si CaZrO3 slag barrier refractory
13	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.jstage.jst.go.jp/article/isijinternational/60/9/60_ISIJINT-2019-768/_html/-char/ja	CFD study on refractory wear in the RH degasser, focusing on the up-snorkel. The wall shear stress caused by rising bubbles is identified as a major mechanical wear mechanism. The highest shear stress occurs near the gas inlet and in the lower part of the snorkel. The paper does not directly address oxygen lance but provides baseline flow patterns.	13	CFD refractory wear RH up snorkel wall shear stress bubble erosion ISIJ 2020
14	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://pdfs.semanticscholar.org/5bb0/57bfc734eed0f62820e20f50f291e4eb24ba.pdf	A detailed CFD model of the RH process. It quantifies the bubble-induced erosion rate based on the turbulent kinetic energy and wall shear stress. The results show that the snorkel wall experiences cyclic thermal and mechanical loading, and the erosion rate is proportional to the local gas fraction. The top lance is not the primary focus, but the model suggests that any additional gas injection would increase turbulence.	14	CFD refractory wear RH up snorkel wall shear stress bubble erosion ISIJ 2020
15	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.researchgate.net/publication/341095655_A_CFD_Study_on_Refractory_Wear_in_RH_Degassing_Process	This CFD study specifically examines the wear of the snorkel due to both chemical and mechanical factors. It correlates the wear rate with the local velocity and temperature gradients. The study notes that the top lance oxygen injection creates a high-temperature zone near the lance tip, which increases the fluid velocity and shear stress on the snorkel inner wall, accelerating both erosion and chemical corrosion.	15	CFD refractory wear RH up snorkel wall shear stress bubble erosion ISIJ 2020
16	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.researchgate.net/publication/309628663_Effect_of_snorkel_shape_on_the_fluid_flow_during_RH_degassing_process_mathematical_modelling	Focuses on the effect of snorkel geometry on flow patterns. It finds that a larger inner diameter reduces wall shear stress, but the presence of the oxygen lance (simulated as a gas jet) creates local recirculation zones that increase the wear rate. The paper provides recommendations for design modifications to mitigate wear.	16	CFD refractory wear RH up snorkel wall shear stress bubble erosion ISIJ 2020
17	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.researchgate.net/publication/262318056_CFD_analysis_to_estimate_refractory_erosion_scab_formation_on_Blast_Furnace_hearth_wall	Although focused on blast furnaces, this paper discusses a generic CFD approach for estimating refractory erosion. The methodology (using shear stress and temperature fields) is transferable to RH snorkels. It emphasizes that high-velocity gas streams (like from a lance) can detach solid particles from the refractory surface, a mechanism applicable to the top lance injection.	17	CFD refractory wear RH up snorkel wall shear stress bubble erosion ISIJ 2020
18	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://journals.sagepub.com/doi/10.1080/03019233.2016.1248700?icid=int.sj-full-text.citing-articles.12	Reviews the wear mechanisms of refractories in RH degassers. It categorizes wear into thermal spalling, chemical corrosion, and erosion. The oxygen lance is identified as a major accelerator because it raises the local temperature (leading to more severe thermal shock), increases the oxygen potential (enhancing decarburization and slag oxidation), and induces high-velocity gas/liquid flow that increases erosive wear. The paper also discusses the interplay between these mechanisms.	18	CFD refractory wear RH up snorkel wall shear stress bubble erosion ISIJ 2020
19	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://umformtechnik.net/wire/Content/Business/New-bloom-caster-to-produce-high-quality-blooms-for-wire-rod-production	News article about a new bloom caster designed for high-quality wire rod production, emphasizing improved internal quality and reduced segregation.	19	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
20	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.sciencedirect.com/topics/engineering/centerline-segregation	Topic overview defining centerline segregation in continuous casting, its causes (bulging, macrosegregation), and typical mitigation measures such as soft reduction and electromagnetic stirring.	20	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
21	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.linkedin.com/pulse/classification-continuous-caster-kerri-zhang	LinkedIn article classifying continuous casters (vertical, bending, curved) and discussing their impact on steel quality, including segregation and inclusion flotation.	21	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
22	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://hanrm.com/the-characteristics-of-various-continuous-casting-machine/	Overview of continuous casting machine types, comparing vertical, bow-type, and curved casters, with notes on their effect on internal defects like centerline segregation.	22	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
23	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6470511/	Research article on the influence of soft reduction on fluid flow, porosity, and center segregation in high-carbon and stainless steel blooms. Reports that soft reduction at solid fractions 0.6–0.9 significantly reduces porosity and segregation index.	23	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
24	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.sms-concast.ch/our-solutions/caster-concepts	SMS Concast solutions for bloom and slab casters, highlighting vertical and bending designs and their capabilities for high-quality steel production.	24	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
25	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://pmc.ncbi.nlm.nih.gov/articles/PMC6470511/	Same as PMC6470511; article on soft reduction effects on porosity and segregation in high-carbon steel blooms.	25	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
26	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/6607021	US Patent 6607021 for a continuous casting method with liquid core reduction, describing apparatus and process to reduce centerline segregation.	26	vertical bending caster vs straight vertical caster high carbon wire rod centerline segregation
27	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/317835790_Reducing_macro_segregation_of_high_carbon_steel_in_continuous_casting_bloom_by_final_electromagnetic_stirring_and_mechanical_soft_reduction_integrated_process	Study on integrated F-EMS and mechanical soft reduction to reduce macro-segregation in high-carbon steel blooms. Demonstrates that combined process lowers segregation index and improves centerline quality.	27	centerline segregation high carbon steel continuous casting soft reduction mechanism
28	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/323821506_Influence_of_Soft_Reduction_on_the_Fluid_Flow_Porosity_and_Center_Segregation_in_CC_High_Carbon-_and_Stainless_Steel_Blooms	Investigation of soft reduction parameters on fluid flow, porosity, and center segregation in high-carbon and stainless blooms. Finds optimal reduction at solid fraction ~0.9 yields segregation index ~1.05–1.16 and minimal porosity.	28	liquid core reduction high carbon wire rod billet center porosity closure segregation index
29	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.jstage.jst.go.jp/article/isijinternational/58/3/58_ISIJINT-2017-534/_article	ISIJ International paper on the effect of soft reduction on center segregation in high-carbon steel blooms, including numerical simulation and experimental validation.	29	liquid core reduction high carbon wire rod billet center porosity closure segregation index
30	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.lmmgroupcn.com/square-rectangular-bloom-ccm-advanced-technology-for-high-quality-steel-blooms/	Technical description of advanced bloom continuous casting machines, including soft reduction and EMS, aimed at improving internal quality of high-carbon steel.	30	"Danieli VCCM POSCO vertical caster AISTech bloom ""segregation"" 0.9 1.0 central porosity rating high carbon results"
31	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.intechopen.com/chapters/48505	IntechOpen chapter on continuous casting of steel, covering segregation mechanisms and control strategies such as soft reduction and stirring.	31	liquid core reduction LCR bloom casting high carbon steel segregation porosity
32	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.mdpi.com/2075-4701/11/1/9	MDPI Metals article on the influence of casting parameters on segregation and porosity in high-carbon steel blooms, with emphasis on LCR and F-EMS.	32	liquid core reduction LCR bloom casting high carbon steel segregation porosity
33	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.jstage.jst.go.jp/article/isijinternational/54/3/54_504/_html/-char/en	ISIJ International paper on dynamic soft reduction for bloom casters, discussing reduction amounts and their effect on centerline segregation.	33	liquid core reduction LCR bloom casting high carbon steel segregation porosity
34	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://link.springer.com/article/10.1007/s12613-024-3009-2	Springer article on the effect of soft reduction on carbon segregation and porosity in high-carbon steel billets.	34	liquid core reduction LCR bloom casting high carbon steel segregation porosity
35	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://link.springer.com/article/10.1007/s11837-016-2041-8	JOM article on control of centerline segregation in steel casting, including comparison of casting machine types.	35	liquid core reduction LCR bloom casting high carbon steel segregation porosity
36	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.sciencedirect.com/science/article/abs/pii/S100588500660100X	ScienceDirect paper on reducing centerline segregation in high-carbon steel billets using soft reduction; reports segregation index reduction from >1.2 to <1.05.	36	liquid core reduction high carbon wire rod billet center porosity closure segregation index
37	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.sciencedirect.com/science/article/abs/pii/S0017931017348706	ScienceDirect article on the role of bulging and soft reduction in segregation formation, with numerical simulation.	37	centerline segregation high carbon steel continuous casting soft reduction mechanism
38	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/233573390_Strategy_to_minimise_central_segregation_in_high_carbon_steel_grades_during_billet_casting	ResearchGate paper on strategies to minimize central segregation in high-carbon steel billet casting, including optimization of superheat, casting speed, and soft reduction.	38	straightening bulging effect centerline segregation high carbon billet curved caster reduce
39	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.metallurgical-research.org/articles/metal/abs/1992/01/metal19928901p83/metal19928901p83.html	1992 article on centerline segregation in continuous casting, discussing bulging and reduction methods.	39	carbon segregation index C/C0 high carbon bloom vertical caster soft reduction values
40	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/384949569_REDUCTION_OF_CENTER_LINE_SEGREGATION_DURING_CONTINUOUS_CASTING_OF_STEEL	ResearchGate paper on reduction of centerline segregation using dynamic soft reduction and optimized roll pitch.	40	centerline segregation high carbon steel continuous casting soft reduction mechanism
41	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10543527	US Patent 10543527 for a soft reduction method to control centerline segregation in continuous casting.	41	centerline segregation high carbon steel continuous casting soft reduction mechanism
42	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.metallurgical-research.org/articles/metal/abs/2017/04/metal170036/metal170036.html	2017 article on the effect of soft reduction on porosity and segregation in high-carbon steel blooms.	42	carbon segregation index C/C0 high carbon bloom vertical caster soft reduction values
43	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.webwire.com/ViewPressRel.asp?aId=355024	Press release about a new vertical bloom caster from Primetals, highlighting its ability to produce high-quality tire cord steel with low segregation.	43	straight vertical caster liquid core reduction tire cord steel bloom internal quality
44	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://metallus.com/offerings/jumbo-bloom-vertical-caster/	Metallus (formerly Republic Steel) offering for jumbo bloom vertical caster, emphasizing internal quality and segregation control for high-carbon grades.	44	straight vertical caster liquid core reduction tire cord steel bloom internal quality
45	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.primetals.com/portfolio/continuous-casting/vertical-casting	Primetals vertical casting technology page, describing benefits for inclusion flotation and reduced segregation.	45	straight vertical caster liquid core reduction tire cord steel bloom internal quality
46	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.primetals.com/en/portfolio/solutions/continuous-casting/bloom-casting/	Primetals bloom casting solutions, including vertical and bending types, with notes on LCR and soft reduction.	46	straight vertical caster liquid core reduction tire cord steel bloom internal quality
47	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/12043879	US Patent 12043879 for a continuous casting apparatus with liquid core reduction.	47	straight vertical caster liquid core reduction tire cord steel bloom internal quality
48	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://content.scirp.org/pdf/msa_2014082914384809.pdf	SCIRP paper on the influence of soft reduction on centerline segregation in steel billets.	48	bulging segregation bow type caster ferrostatic pressure centerline carbon
49	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://pdfs.semanticscholar.org/a9b4/02aa7f4edb05a4e38e76671e62949fd30d5c.pdf	Semantic Scholar PDF on bulging and its effect on centerline segregation in slab casting.	49	bulging segregation bow type caster ferrostatic pressure centerline carbon
50	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://file.scirp.org/Html/5-7701382_49389.htm	SCIRP article on continuous casting defects, including centerline segregation and porosity.	50	straightening bulging effect centerline segregation high carbon billet curved caster reduce
51	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://metalworldinsight.com/continuous-casting-of-steel-overview/	Overview of continuous casting, comparing vertical and bow-type casters and their impact on steel quality.	51	bulging segregation bow type caster ferrostatic pressure centerline carbon
52	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://ccc.illinois.edu/PDF%20Files/2001_Presentations/Lan_Report_01s.pdf	University of Illinois report on centerline segregation mechanisms and control in slab casting.	52	bulging segregation bow type caster ferrostatic pressure centerline carbon
53	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/288093464_Control_of_Centerline_Segregation_in_Slab_Casting	ResearchGate paper on control of centerline segregation in slab casting using soft reduction and EMS.	53	bulging segregation bow type caster ferrostatic pressure centerline carbon
54	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://files01.core.ac.uk/download/pdf/147908317.pdf	Core.ac.uk PDF on the effect of soft reduction on segregation in high-carbon steels.	54	bulging segregation bow type caster ferrostatic pressure centerline carbon
55	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://patents.google.com/patent/KR20110088072A/en	Korean patent for a method to reduce Mn/S segregation in high-carbon blooms using soft reduction.	55	Mn/C segregation ratio bloom high carbon caster mannesmann rating
56	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.mdpi.com/2075-4701/9/7/749	MDPI Metals article on morphology of solidification and MnS inclusions in high-carbon blooms, linking to segregation.	56	Mn/C segregation ratio bloom high carbon caster mannesmann rating
57	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.academia.edu/86204498/Morphology_of_Solidification_Structure_and_MnS_Inclusion_in_High_Carbon_Steel_Continuously_Cast_Bloom	Academia.edu paper on solidification morphology and MnS inclusions in high-carbon steel blooms.	57	Mn/C segregation ratio bloom high carbon caster mannesmann rating
58	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/364950626_Centerline_segregation_rating_and_its_applications_on_mechanical_properties_and_weldability_of_line-pipe_steels	ResearchGate paper on centerline segregation rating and its effect on mechanical properties.	58	Mn/C segregation ratio bloom high carbon caster mannesmann rating
59	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.mdpi.com/2075-4701/10/4/499	MDPI Metals article on carbon segregation in high-carbon billets, with emphasis on casting parameters.	59	Mn/C segregation ratio bloom high carbon caster mannesmann rating
60	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.aist.org/AIST/aist/AIST/Publications/Digital%20Transformations/20-july-42-47-dig-trans.pdf	AIST article on digital transformation in casting, including segregation monitoring.	60	Mn/C segregation ratio bloom high carbon caster mannesmann rating
61	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.academia.edu/127707467/Method_of_Verification_of_Carbon_Segregation_Ratio_Determined_with_Experimental_Methods	Academia.edu paper on verification of carbon segregation ratio in steel.	61	Mn/C segregation ratio bloom high carbon caster mannesmann rating
62	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9062359	US Patent 9062359 for a method to reduce centerline segregation in continuous casting.	62	Mn/C segregation ratio bloom high carbon caster mannesmann rating
63	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.researchgate.net/publication/287637796_Deformation_Characteristics_of_Steel_Billets_with_Liquid_Core	ResearchGate paper on deformation characteristics of steel billets with liquid core during soft reduction.	63	liquid core reduction definition mold soft reduction difference segregation
